"Plot Title: SG_South_1 meter"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 20057778, SEN S/N: 20057778, LBL: Temp)","RH, % (LGR S/N: 20057778, SEN S/N: 20057778, LBL: RH)"
1,03/24/19 04:28:48 PM,81.554,44.954
2,03/24/19 04:58:48 PM,74.424,54.431
3,03/24/19 05:28:48 PM,73.515,57.187
4,03/24/19 05:58:48 PM,71.577,61.435
5,03/24/19 06:28:48 PM,69.386,66.759
6,03/24/19 06:58:48 PM,67.928,70.531
7,03/24/19 07:28:48 PM,65.316,76.699
8,03/24/19 07:58:48 PM,62.233,83.996
9,03/24/19 08:28:48 PM,61.205,86.070
10,03/24/19 08:58:48 PM,60.433,87.854
11,03/24/19 09:28:48 PM,59.873,90.655
12,03/24/19 09:58:48 PM,59.745,90.452
13,03/24/19 10:28:48 PM,59.185,90.745
14,03/24/19 10:58:48 PM,57.765,89.942
15,03/24/19 11:28:48 PM,60.991,86.231
16,03/24/19 11:58:48 PM,60.390,84.826
17,03/25/19 12:28:48 AM,60.046,85.865
18,03/25/19 12:58:48 AM,59.315,86.094
19,03/25/19 01:28:48 AM,58.023,89.210
20,03/25/19 01:58:48 AM,56.512,88.476
21,03/25/19 02:28:48 AM,56.728,90.274
22,03/25/19 02:58:48 AM,56.426,90.180
23,03/25/19 03:28:48 AM,56.383,89.858
24,03/25/19 03:58:48 AM,55.299,89.525
25,03/25/19 04:28:48 AM,55.168,90.688
26,03/25/19 04:58:48 AM,55.125,92.997
27,03/25/19 05:28:48 AM,54.777,92.766
28,03/25/19 05:58:48 AM,54.734,94.358
29,03/25/19 06:28:48 AM,54.212,93.511
30,03/25/19 06:58:48 AM,53.078,94.347
31,03/25/19 07:28:48 AM,53.035,93.393
32,03/25/19 07:58:48 AM,53.472,94.225
33,03/25/19 08:28:48 AM,59.185,90.031
34,03/25/19 08:58:48 AM,66.857,81.052
35,03/25/19 09:28:48 AM,67.714,69.719
36,03/25/19 09:58:48 AM,71.317,63.109
37,03/25/19 10:28:48 AM,77.815,51.574
38,03/25/19 10:58:48 AM,81.864,44.648
39,03/25/19 11:28:48 AM,78.559,48.565
40,03/25/19 11:58:48 AM,76.854,49.785
41,03/25/19 12:28:48 PM,77.160,48.402
42,03/25/19 12:58:48 PM,77.247,48.023
43,03/25/19 01:28:48 PM,76.332,48.535
44,03/25/19 01:58:48 PM,76.636,48.333
45,03/25/19 02:28:48 PM,76.375,48.666
46,03/25/19 02:58:48 PM,76.114,49.318
47,03/25/19 03:28:48 PM,75.898,50.447
48,03/25/19 03:58:48 PM,75.463,51.587
49,03/25/19 04:28:48 PM,75.160,52.322
50,03/25/19 04:58:48 PM,74.683,53.543
51,03/25/19 05:28:48 PM,73.558,55.857
52,03/25/19 05:58:48 PM,72.307,57.580
53,03/25/19 06:28:48 PM,70.930,60.495
54,03/25/19 06:58:48 PM,68.484,65.094
55,03/25/19 07:28:48 PM,66.429,69.674
56,03/25/19 07:58:48 PM,63.133,75.741
57,03/25/19 08:28:48 PM,61.677,79.565
58,03/25/19 08:58:48 PM,60.690,82.185
59,03/25/19 09:28:48 PM,59.873,85.248
60,03/25/19 09:58:48 PM,58.712,86.016
61,03/25/19 10:28:48 PM,59.445,87.348
62,03/25/19 10:58:48 PM,60.046,85.378
63,03/25/19 11:28:48 PM,58.239,86.169
64,03/25/19 11:58:48 PM,57.160,88.191
65,03/26/19 12:28:48 AM,56.469,89.343
66,03/26/19 12:58:48 AM,55.558,89.693
67,03/26/19 01:28:48 AM,56.251,91.257
68,03/26/19 01:58:48 AM,55.690,91.022
69,03/26/19 02:28:48 AM,54.734,90.052
70,03/26/19 02:58:48 AM,54.734,90.104
71,03/26/19 03:28:48 AM,53.253,91.150
72,03/26/19 03:58:48 AM,53.645,91.569
73,03/26/19 04:28:48 AM,54.995,90.245
74,03/26/19 04:58:48 AM,54.169,91.122
75,03/26/19 05:28:48 AM,54.037,90.113
76,03/26/19 05:58:48 AM,55.429,88.515
77,03/26/19 06:28:48 AM,55.168,89.429
78,03/26/19 06:58:48 AM,53.865,89.644
